Destination,Destination_Name,Distance_Miles,Path,Path_Names
11,Grove Avenue and Grove Avenue,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue
12,Grove Avenue and Grove Avenue,0,0 -> 18 -> 19 -> 10 -> 12,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue
13,Buchanan Hollow Road and Plainsburg Road,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24 -> 2 -> 1 -> 13,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street -> K Street and Illinois Avenue -> Tamarack Way and Hemlock Drive -> Buchanan Hollow Road and Plainsburg Road
14,Buchanan Hollow Road and Buchanan Hollow Road,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road
15,Buchanan Hollow Road and Silveira Way,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way
16,Santa Fe Drive and Airdrome Entry,0,0 -> 18 -> 17 -> 8 -> 3 -> 16,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Cardella Road and Bancroft Drive -> K Street and K Street -> Santa Fe Drive and Airdrome Entry
17,Santa Fe Drive and Santa Fe Drive,0,0 -> 18 -> 17,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive
18,Santa Fe Drive and Wallace Road,0,0 -> 18,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road
19,Santa Fe Drive and Santa Fe Drive,0,0 -> 18 -> 19,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive
20,Santa Fe Drive and Buhach Road,0,0 -> 18 -> 19 -> 10 -> 12 -> 20,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road
21,I Street and 22Nd Street,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street
22,I Street and 23Rd Street,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street
23,I Street and I Street,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street
24,I Street and I Street,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street
25,Strolling Lane and Pleasant Lane,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24 -> 2 -> 1 -> 13 -> 25,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street -> K Street and Illinois Avenue -> Tamarack Way and Hemlock Drive -> Buchanan Hollow Road and Plainsburg Road -> Strolling Lane and Pleasant Lane
26,Strolling Lane and Breezeway Lane,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24 -> 2 -> 1 -> 13 -> 25 -> 26,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street -> K Street and Illinois Avenue -> Tamarack Way and Hemlock Drive -> Buchanan Hollow Road and Plainsburg Road -> Strolling Lane and Pleasant Lane -> Strolling Lane and Breezeway Lane
27,Strolling Lane and Canopy Court,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24 -> 2 -> 1 -> 13 -> 25 -> 26 -> 27,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street -> K Street and Illinois Avenue -> Tamarack Way and Hemlock Drive -> Buchanan Hollow Road and Plainsburg Road -> Strolling Lane and Pleasant Lane -> Strolling Lane and Breezeway Lane -> Strolling Lane and Canopy Court
28,Strolling Lane and Strolling Court,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24 -> 2 -> 1 -> 13 -> 25 -> 26 -> 27 -> 28,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street -> K Street and Illinois Avenue -> Tamarack Way and Hemlock Drive -> Buchanan Hollow Road and Plainsburg Road -> Strolling Lane and Pleasant Lane -> Strolling Lane and Breezeway Lane -> Strolling Lane and Canopy Court -> Strolling Lane and Strolling Court
29,Meadowbrook Avenue and Meadowbrook Avenue,0,0 -> 18 -> 17 -> 8 -> 3 -> 16 -> 4 -> 29,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Cardella Road and Bancroft Drive -> K Street and K Street -> Santa Fe Drive and Airdrome Entry -> K Street and Delaware Avenue -> Meadowbrook Avenue and Meadowbrook Avenue
