length_miles,road_name
0.0283,WILLOWBROOK DRIVE
1.0018,WEST HIGHWAY 152
0.5024,LINDEN AVENUE
0.1035,PEBBLE BEACH PLACE
0.4156,SAN JUAN ROAD
0.1874,EAST YOSEMITE AVENUE
0.1337,JENNER DRIVE
2.0019,COMBS ROAD
0.4872,WEST DICKENSON FERRY ROAD
0.103,BEACHWOOD DRIVE
0.0329,SATTUI COURT
0.061,AVIATOR AVENUE
0.0534,SHAFFER ROAD
0.2105,INGOMAR GRADE
0.0613,BELMONT DRIVE
0.0494,CHESTNUT LANE
0.0606,MEREDITH AVENUE
0.2542,EAST YOSEMITE PARKWAY
0.0628,LINDA LANE
0.0858,BISMARCK DRIVE
0.0729,NORRIS AVENUE
0.0636,BELL DRIVE
0.5033,APPLEGATE ROAD
0.4263,WEST HIGHWAY 140
0.0734,SWAN COURT
0.2182,GERARD AVENUE
0.5438,CANAL DRIVE
0.0364,CHERRY LANE
0.4408,MOTEL DRIVE
0.0737,TUCOLAY COURT
0.043,OLIVE STREET
0.4496,ALMOND AVENUE
0.4751,HIGHWAY 99
0.0805,NAPLES COURT
0.061,MONTE VISTA AVENUE
0.0422,CHAPMAN COURT
0.9944,SOUTH HIGHWAY 33
0.0192,REYNOLDS AVENUE
0.0567,EAST PERIMETER AVENUE
0.596,SOUTH PARSONS AVENUE
0.0532,CRAWFORD STREET
0.0811,PARK STREET
0.0633,CORDOVA AVENUE
0.0475,DRAKE AVENUE
0.1264,BUSINESS PARK WAY
0.2508,WALNUT AVENUE
0.0946,SIXTH STREET
0.0571,LAUREL AVENUE
0.025,SQUAW VALLEY DRIVE
0.0411,PAULSON ROAD
0.0703,NORTHWOOD DRIVE
0.0137,VOLTA ROAD
0.1444,CITRUS AVENUE
0.0512,WEBBER COURT
0.1438,HARDSTAND AVENUE
0.1915,WEST YOSEMITE AVENUE
0.0475,MEADOWLARK AVENUE
0.0598,MISSION DRIVE
0.0837,R STREET
0.0277,EAST CHILDS AVENUE
0.0773,RHIANON DRIVE
0.05,SANTA BARBARA STREET
0.089,GENOA COURT
0.0394,VICKIE COURT
0.0367,EAST COMET ROAD
0.0478,PAAGA AVENUE
0.0549,FORTUNA AVENUE
0.0807,RODS COURT
0.7515,MARIPOSA WAY
0.1765,I-5 OFF RAMP
0.0777,GLENMOOR PLACE
0.0731,GEE GEE AVENUE
4.6983,LANGDON ROAD
0.0546,SHELL STREET
0.6127,THORNTON ROAD
0.0606,MYRTLE AVENUE
0.1012,GENERAL AVENUE
0.1018,GREENWICH DRIVE
0.0599,MCKEE ROAD NORTH
0.0606,PARKSIDE WAY
0.0893,EAST LA PURISIMA STREET
0.0492,BISMARCK DRIVE
0.1867,FIRST STREET
0.7641,MORLEY AVENUE
0.047,THIRD STREET
0.0348,ROBLEDO WAY
0.0944,LIME AVENUE
0.0459,SAN MORITZ AVENUE
0.1443,AGGIE LANE
0.0767,O STREET
0.0894,PRIVATE ROAD
0.0758,K STREET
0.3123,WEST HIGHWAY 152
0.0478,ARGUELLO DRIVE
0.0962,GROVE AVENUE
0.1969,FIRST STREET
0.0484,KRAFFT ROAD
0.0484,MISSION DRIVE
0.0426,BEACHWOOD DRIVE
0.0053,NORTH ARCADIA DRIVE
0.7198,LARSON AVENUE
0.0498,LINDA LANE
0.0228,SAN FRANCISCO DE ASIS AVENUE
0.0889,NORTH HIGHWAY 99
0.4083,IRMA DRIVE
0.0924,WEST 8TH STREET
0.0507,PARK SHARON DRIVE
0.036,2ND STREET
0.0499,NORTH DWIGHT WAY
0.2557,AQUA VISTA STREET
0.0595,INDEPENDENCE COURT
0.1691,IRVINE DRIVE
0.0491,ROUND HILL DRIVE
0.048,FRIGGS AVENUE
0.8052,WEST HIGHWAY 152
0.0383,BRIGHTDAY DRIVE
0.614,ROBIN AVENUE
0.0243,CANVASBACK COURT
0.0213,SONOMA AVENUE
1.1276,NORTH AVENUE
0.1022,FAIRFIELD DRIVE
0.155,SUMMIT DRIVE
0.0758,CANAL STREET
0.1002,VIRGINIA STREET
0.0572,EL CAPITAN AVENUE
0.1778,TAYLOR JEAN AVENUE
0.6358,AVENUE 26
0.0375,HAWTHORNE AVENUE
0.0389,WEST COMET ROAD
1.0036,SOUTH GURR ROAD
0.0258,SANTANDER AVENUE
0.758,LUX AVENUE
0.5032,SOUTH HIGHWAY 33
0.0491,BIRCH AVENUE
0.0267,VENUS CIRCLE
0.0598,REECE WADE COURT
0.2394,MARIANA ROAD
0.1583,CINDY STREET
0.0847,MARGARET COURT
0.0256,WEST CARDOZA ROAD
0.124,LILY DRIVE
0.2123,OLEANDER AVENUE
0.1261,SANTA CRUZ DRIVE
0.0681,TOSCANO COURT
0.051,THOMAS COURT
0.1231,ORTIGALITA ROAD
0.0543,NEW MEXICO AVENUE
0.099,COMMUNITY WAY
0.0768,TALARA DRIVE
0.0538,FAVIER DRIVE
6.5536,SWEENY ROAD
0.1612,RENE COURT
0.0586,DOGWOOD COURT
0.9942,INGOMAR ROAD
0.1161,EAST OLD LAKE ROAD
0.1516,WARDROBE AVENUE
0.5009,SHAIN AVENUE
0.1381,MITCHELL AVENUE
0.0497,BRIDGEPORT DRIVE
0.1299,BLOSSOM STREET
0.1502,FIRST STREET
1.5101,BUCHANAN HOLLOW ROAD
0.1212,LEHIGH DRIVE
0.0312,WHITE BIRCH DRIVE
0.1149,STELLA STREET
1.0185,ROSE AVENUE
0.1927,MORAN AVENUE
0.0362,SUNRISE DRIVE
0.1202,ALBERTA DRIVE
0.3011,I-5
0.5046,ROBIN AVENUE
0.0743,ACAPULCO COURT
0.0992,HUTCHINSON LANE
0.1864,HILLSIDE DRIVE
0.0363,HARBOR DRIVE
0.0866,WHITNEY STREET
0.0395,HART DRIVE
1.9958,BAILEY AVENUE
0.0973,SOUTH M STREET
0.0468,SUNRISE AVENUE
2.5482,ARBURUA ROAD
0.043,ORIOLE COURT
0.0382,RAMBLER LANE
0.0574,AIRFLIGHT DRIVE
0.0698,LOCKSLEY COURT
0.066,LEHIGH DRIVE
0.086,BOULDER DRIVE
0.0838,SUSSEX COURT
0.044,DE LA GUERRA COURT
0.0488,SOUTH N STREET
0.1006,ALMONDWOOD LANE
0.1098,SNOWMASS COURT
0.0771,EAST 21ST STREET
0.0611,NORTH HIGHWAY 99
0.1582,MAIDENCANE WAY
0.0518,HIGH STREET
0.0891,MAXIMILLIAN COURT
0.0247,AMISTAD STREET
0.072,CAPISTRANO WAY
0.0525,BRIARWOOD STREET
0.5157,SANTA LUCIA AVENUE
0.19,WEST 16TH STREET
0.0446,EL PORTAL DRIVE
0.0574,ST JAMES DRIVE
0.0894,RANCHERO LANE
0.0504,ANCONA STREET
0.2486,MILLER ROAD
1.0107,MILLUX AVENUE
0.059,SANTA FE
0.0296,THIRD STREET
0.0132,APPLEGATE ROAD
3.0277,GASTENBIDE ROAD
0.0933,MARCUS STREET
0.0345,SOUTH CANAL STREET
0.0314,SOUTH MANCHESTER DRIVE
0.0597,MONTELENA COURT
0.0352,GROGAN AVENUE
0.8177,HENRY MILLER AVENUE
0.9977,ATWATER JORDAN ROAD
0.1342,AUGUST AVENUE
0.0614,ALMOND STREET
0.3749,SOUTH HIGHWAY 99
0.0894,IRONSTONE DRIVE
0.9833,AMERICAN AVENUE
0.0298,FIDALGO WAY
0.0967,EAST 27TH STREET
0.0999,MOGLIOTTI AVENUE
0.2631,SIXTH STREET
0.0113,HIGHLAND DRIVE
0.122,FREESTONE DRIVE
0.02,RAMOS ROAD
0.7483,SANTA FE DRIVE
0.0369,MARYBELLE DRIVE
0.0489,SHARON LANE
0.9958,CRISWELL ROAD
0.0834,FRUITLAND AVENUE
0.0539,RAMBLER ROAD
0.0477,PLATA DRIVE
0.5001,APPLEGATE ROAD
0.0911,WEST 13TH STREET
0.0169,VILLA DRIVE
0.5077,VINEYARD WAY
0.0474,GLENEAGLE STREET
0.0307,LOS GATOS COURT
0.0922,NORTH MAIN STREET
0.0559,THOMPSON AVENUE
0.0516,MULBERRY WAY
0.0777,HASKELL AVENUE
0.0625,AUGUST AVENUE
0.0732,PLEASANT COURT
0.0545,SHAFER AVENUE
0.0059,SUNLIGHT AVENUE
0.0481,GAGE STREET
0.0633,OLIVE AVENUE
0.0113,ALBERT DRIVE
0.1458,GERTRUDE AVENUE
0.0551,QUAIL AVENUE
0.1269,EAST NORTH BEAR CREEK DRIVE
0.1712,B STREET
0.362,HIGHWAY 99 ON RAMP
0.0779,BRANDY WAY
0.3253,RAILROAD AVENUE
0.0473,FREEMARK AVENUE
1.0006,SUNNY ACRES AVENUE
0.211,MILES COURT
0.094,CASTLE WOOD AVENUE
0.0901,6TH STREET
0.0761,MCDOWELL STREET
0.4711,FREITAS AVENUE
0.1101,DE LA GUERRA STREET
0.0482,DAFFODIL DRIVE
0.025,DENISE DRIVE
0.0931,CARDOZA ROAD
0.8757,WEST HIGHWAY 152
0.1406,SANDPIPER WAY
0.1402,WEST HIGHWAY 152 OFF RAMP
0.1014,MOCKINGBIRD COURT
0.0378,TAMWORTH COURT
0.062,MERIDA WAY
0.0462,BUENA VISTA DRIVE
0.0418,NORTH FALLBROOK DRIVE
0.039,WEST PACHECO BOULEVARD
0.0522,CINDY COURT
0.0542,BALLANTYNE DRIVE
0.0485,HARLEQUIN DRIVE
0.0894,GLENDALE COURT
0.0481,DENVER AVENUE
0.5058,EAST TOEWS AVENUE
0.0528,DELAWARE AVENUE
0.0741,G STREET
0.0829,SOUTH R STREET
0.0479,BIG SANDY AVENUE
0.1852,CATHERINE A.  HOSTETLER BOULEVARD
0.6108,ASHBY ROAD
0.0642,E STREET
0.0322,WILLOWBROOK AVENUE
0.0997,GOLDEN OAK LANE
0.2508,WARD ROAD
0.0959,EAST BLOSSOM STREET
0.0315,SANTA CATALINA AVENUE
0.1125,WEST OLIVE AVENUE
0.0905,TRAILER WAY
0.0477,DEAN STREET
0.0534,HIGH STREET
0.074,BIGLER DRIVE
0.0511,LEAH WAY
0.0455,RALEIGH COURT
0.0483,DARLINGTON STREET
0.2529,ARBURUA ROAD
0.0327,SPALDING AVENUE
0.1356,PACHECO BOULEVARD
0.1199,ORIOLE WAY
0.539,HUNTER ROAD
0.0772,FOURTH STREET
0.0757,S STREET
1.011,TAHOE STREET
0.4325,WHITE ROAD
0.0976,STONEWOOD DRIVE
0.534,NORTH HIGHWAY 99
0.0398,SANTA LUCIA DRIVE
0.0758,PINEDALE AVENUE
0.118,ROMERO STREET
0.0563,TEAK AVENUE
0.0409,WEST COMET ROAD
1.001,AMERICAN AVENUE
0.0505,COMPASS POINTE AVENUE
2.3727,GUN CLUB ROAD
0.0663,SOUTH ELEVENTH STREET
0.0837,WAKE FOREST COURT
0.0908,WEST 8TH STREET
0.055,SHADOW BROOK DRIVE
0.0507,PRIVATE ROAD
0.0913,CLAREMONT COURT
0.0443,KENNETH WAY
0.0246,ST PATRICK COURT
0.0472,MERCED AVENUE
0.2341,SOUTH GARDNER AVENUE
0.0572,GALLO STREET
0.0969,WEST H STREET
2.7802,KEYES ROAD
0.044,HUNTERS DRIVE
0.0908,WEST 20TH STREET
0.0488,AUTRY LANE
1.0034,LONGVIEW AVENUE
0.0231,LINDA LANE
0.0135,MARTIN LUTHER KING JR WAY
0.5118,STEINBERG ROAD
0.0648,OLIVEWOOD COURT
0.0832,WEST AVENUE
0.0324,SHAIN AVENUE
0.1324,MERCY AVENUE
0.2495,SWANSON ROAD
0.116,NORTH MOUNTAINSIDE DRIVE
0.0057,MILLS ROAD
0.09,SHAFFER ROAD
0.024,STANFORD AVENUE
0.0909,12TH PLACE
0.0916,WEST SANTA FE AVENUE
0.1773,WEST NORTH BEAR CREEK DRIVE
0.5051,NORTH QUINLEY AVENUE
0.9913,EAST BELLEVUE ROAD
0.4979,DWIGHT WAY
0.1036,RONNIE COURT
0.0646,PALO ALTO STREET
0.0754,H STREET
0.0907,WEST 11TH STREET
0.0977,MARTIN LUTHER KING JR WAY
0.0483,AUSTIN AVENUE
0.2793,WEST HIGHWAY 152 ON RAMP
0.0488,PERIDOT AVENUE
0.9979,MINT ROAD
0.0837,WINDSOR COURT
0.3693,LOS OLIVOS ROAD
0.4996,CENTRAL AVENUE
0.091,DE ANZA AVENUE
0.7389,SOUTH ARBOLEDA DRIVE
0.028,ORCHARD LANE
0.0496,SEVILLE COURT
0.0211,GOLDEN OAK LANE
0.0677,BODEGA COURT
0.1227,FAY DRIVE
0.0648,LIBERTY STREET
0.0443,SOUTH CREEKSIDE DRIVE
0.1443,FRUITLAND AVENUE
0.2689,INGOMAR ROAD
0.0399,WILLOWBROOK DRIVE
0.0262,LANDER AVENUE
1.245,POLE LINE ROAD
0.013,PYRAMID AVENUE
0.0878,DOVE COURT
0.0909,5TH STREET
0.0923,WEST SANTA FE AVENUE
0.3538,EAST SANTA FE AVENUE
0.2038,MCCABE ROAD
0.0563,TEXAS AVENUE
0.0253,HIGHWAY 99
0.0498,CASTLE STREET
0.0621,LAUGHLIN LANE
0.1246,OLIVE STREET
0.0345,RENSSELAER DRIVE
0.1042,P STREET
0.317,HIGHWAY 99
0.5023,GURR ROAD
0.6684,CANAL DRIVE
0.184,WEST ALEXANDER AVENUE
0.1368,HEITZ WAY
0.0434,BELLFLOWER WAY
0.1409,MULBERRY AVENUE
0.2567,SOUTH MATHER ROAD
0.0897,BARCLAY WAY
0.0502,BEECHWOOD DRIVE
1.1588,ARROYA AVENUE
0.0346,WILBUR WAY
0.1405,PRUSSO STREET
0.2169,SANTA FE DRIVE
0.0353,DARLINGTON COURT
0.0239,WINTON WAY
0.0941,YOSEMITE COURT
0.0388,WEST COMET ROAD
0.5219,CUSTER AVENUE
0.1104,BEACHWOOD DRIVE
0.0051,LOPES AVENUE
1.0057,EAST GRANT ROAD
0.0493,SIERRA MADRE DRIVE
0.0643,THIRD STREET
0.0555,RANCHO GRANDE CIRCLE
0.1775,MILLER LANE
0.0406,WILSON AVENUE
0.0358,SHAIN AVENUE
0.0551,ASPEN STREET
0.1421,DURANT WAY
0.049,MILLS DRIVE
0.0642,GREEN SANDS AVENUE
1.1405,CHAMBERLAIN ROAD
0.4966,VAN CLIEF ROAD
0.6484,RIVERSIDE AVENUE
0.0471,COLLEEN AVENUE
0.0835,DAKOTA STREET
0.1151,WARD ROAD
0.5022,LINCOLN BOULEVARD
0.0513,JOANNA COURT
0.42,HIGHWAY 99
0.0276,VALDES WAY
0.0904,5TH STREET
0.9932,MCDONALD AVENUE
0.0858,AMMO AVENUE
0.0417,ALLISON COURT
0.3752,HIGHWAY 99 ON RAMP
0.0445,CRYSTAL SPRINGS DRIVE
0.0652,PIONEER ROAD
0.4755,GOLDEN STATE BOULEVARD
0.0283,SAN SIMEON COURT
0.5002,MEADOW DRIVE
0.1267,ELLEN AVENUE
0.0735,CALIMYRNA AVENUE
0.2529,BANKS ROAD
0.5169,SOUTH ARBOLEDA DRIVE
0.3712,SANTA FE ROAD WEST
0.0293,NORTH HIGHWAY 59
0.1069,LAKE RIDGE STREET
0.0491,WHEELER LANE
0.0455,HAMPSHIRE COURT
0.4994,REYNOLDS AVENUE
0.0471,SAPPHIRE DRIVE
0.0818,BUENA VISTA DRIVE
0.0645,THIRD STREET
0.0485,STONYBROOK AVENUE
0.1187,HAZEL AVENUE
0.1039,CHESTNUT STREET
0.336,CLAUSEN ROAD
0.2841,SARATOGA AVENUE
0.5395,TURNER ISLAND ROAD
1.1985,CUNNINGHAM ROAD
0.7847,PEACH AVENUE
0.1501,GREENBRIAR DRIVE
0.0597,EAST 27TH STREET
0.7124,MARINO WAY
0.2213,BEL MIRA DRIVE
0.0779,V STREET
0.1133,VALERIA STREET
0.1268,QUAIL STREET
0.0586,SWAN STREET
0.4946,WAINWRIGHT ROAD
0.0755,CHERRY AVENUE
0.0161,DELLA DRIVE
0.0985,CORDELIA DRIVE
0.0135,EAST CHILDS OFF RAMP
0.0981,RHODA AVENUE
0.0909,WEST 19TH STREET
0.0336,ANDOVER WAY
0.0481,LIME AVENUE
0.0623,ALMOND STREET
0.499,LEXINGTON AVENUE
0.9997,NORTH AVENUE
1.5011,DENTON & LEAK ROAD
0.2007,PERSIMMON WAY
0.0713,BEAJOLAIS COURT
0.0406,VIA BASILICATA
0.0452,PALA COURT
0.0365,SIBLEY PLACE
0.0375,CANAL STREET
2.002,EAST ROOSEVELT ROAD
0.1441,ORTIGALITA ROAD
0.05,TEHAMA DRIVE
0.0506,EAST 26TH STREET
0.0312,ELM AVENUE
0.0497,STOCKING STREET
0.0835,WINTON WAY
0.0498,WALLER STREET
0.7054,WEST HIGHWAY 152
0.0921,NEAL STREET
0.0522,VINE STREET
0.0516,WALTER DRIVE
0.0572,LOUISE AVENUE
0.1275,FIRST STREET
0.1016,DOVE STREET
0.1398,FALLBROOK DRIVE
3.5405,SOUTH CUNNINGHAM ROAD
0.0662,BIXBY WAY
0.0157,WOOD DUCK COURT
0.0486,BLACK PINE WAY
0.3965,NORTH HIGHWAY 59
0.0916,2ND AVENUE
0.1062,AVENUE TWO AVENUE
0.1335,SOUTH WEST AVENUE
1.003,PALM AVENUE
0.0494,LEHIGH DRIVE
0.2459,ARENA WAY
0.1265,DAYTON AVENUE
0.045,SPRIG COURT
3.2334,NORTH HIGHWAY 59
0.2886,RIVER ROAD
0.1096,CONNIE COURT
0.055,CHARLES AVENUE
0.2113,EAST BROADWAY AVENUE
0.2979,HIGHWAY 99
0.0917,2ND STREET
0.4797,RIVER ROAD
0.7737,HIGHWAY 99
0.0472,CAMINO AVENUE
0.1515,WARD ROAD
0.4946,GROVE AVENUE
0.2343,HOLSTEIN ROAD
0.0647,STERLING HILL COURT
0.0407,BUCKINGHAM COURT
0.0459,DELAWARE AVENUE
0.2423,ATLANTIC STREET
0.105,SUNSET DRIVE
0.9868,VOLTA ROAD
0.0858,COBBLEFIELD LANE
0.1722,VIA DEL PETTORUTO
0.4979,EAST CARDELLA ROAD
0.4938,SULTANA DRIVE
0.029,ALTAVILLE COURT
6.9361,SANTA FE GRADE
0.1823,WEST SANTA FE AVENUE
0.0632,MONTE VISTA AVENUE
0.0678,A STREET
0.0228,KEATON ROAD
0.0682,STRATOFORTRESS DRIVE
0.0498,COWDEN AVENUE
0.1223,TOPEKA STREET
0.0545,CITRUS AVENUE
0.0602,INGOMAR GRADE
0.0036,NORTH ORCHARD PARK AVENUE
3.4897,SAND SLOUGH ROAD
0.0306,THIRD STREET
0.3143,SANTA FE DRIVE
0.0833,CINNABAR AVENUE
1.0908,MADERA ROAD
0.0633,SPRINGFIELD COURT
0.0241,VALERIA STREET
0.0468,FRANKLIN ROAD
0.0929,FLEMING ROAD
0.0578,CASTLE DRIVE
0.0913,WEST 22ND STREET
0.0405,MONTE GROSSO COURT
0.1091,BIRCHWOOD AVENUE
0.139,FREEMARK DRIVE
0.3763,NORTH HIGHWAY 59
0.0665,MYRTLE AVENUE
0.0261,PIONEER ROAD
0.0024,NORTH ROBIN AVENUE
0.0345,WILDCAT DRIVE
0.0297,HANSEN AVENUE EAST
0.1607,GROGAN AVENUE
0.0503,CAMPUS DRIVE
0.0635,EAST DONNA DRIVE
0.0495,BRIARWOOD DRIVE
0.5536,HUNT ROAD
0.0907,O STREET
0.0567,NARBAITZ LANDING
0.0824,SERENITY COURT
0.2291,EAST TOEWS AVENUE
0.5001,WAINWRIGHT ROAD
0.0412,YVONNE COURT
0.0374,SAN JOSE COURT
0.4137,KEYES ROAD
0.1191,WEST YOSEMITE AVENUE
0.0794,HILLTOP AVENUE
0.0597,GREEN STREET
0.5026,WEST HIGHWAY 140
0.0396,A STREET
0.07,STRATOFORTRESS DRIVE
0.083,BENNINGTON COURT
0.0034,EAST OLIVE AVENUE
1.0026,OLIVE AVENUE
0.0382,COTTONWOOD AVENUE
0.0129,VINE STREET
0.0542,CREEK ROAD
0.1354,FRANKLIN ROAD
0.0752,OLIVE AVENUE
0.2486,RITA-MAY AVENUE
0.2099,SAN VINCENT AVENUE
0.11,DE LA GUERRA STREET
0.0667,WIDGEON DRIVE
0.0635,SAN JUAN AVENUE
0.5354,WARDROBE AVENUE
0.0735,HERITAGE DRIVE
0.0178,NETTLE WAY
0.0426,SUNRISE DRIVE
0.2559,BURCHELL AVENUE
0.1462,DEVONWOOD DRIVE
0.0536,SAN JOSE AVENUE
0.1075,EDAN COURT
0.1008,COLUMBIA AVENUE
0.0704,THIRD STREET
0.0498,TIFFANY LANE
0.3641,MERCED AVENUE
0.1018,KINOSHITA COURT
0.0771,SECOND STREET
0.1661,AUSTIN AVENUE
0.317,SOUTH HIGHWAY 99
0.0486,WEST I STREET
0.3491,FLOWER STREET
0.1177,ADOBE COURT
0.0979,MONO LAKE AVENUE
0.0323,MANZANITA WAY
0.076,H STREET
0.0222,WEST I STREET
0.0868,SPRUCE AVENUE
0.7726,EAST CAMPUS PARKWAY
1.5956,PRIVATE ROAD
0.1276,WEST CARDELLA ROAD
0.0749,SUNDANCE STREET
0.0761,CANAL STREET
0.7502,WEST HIGHWAY 152
0.0471,MCSWAIN ROAD
0.0152,LATHAM DRIVE
0.0609,AVIATION DRIVE
0.0461,PINEDA DRIVE
0.0508,EAST 26TH STREET
0.0515,MASSASSO COURT
0.0913,EAST SAN PEDRO STREET
0.1779,EAST SANTA FE AVENUE
0.1217,SHAIN AVENUE
0.0624,LUCERNE AVENUE
0.0824,EAST BUENA VISTA COURT
0.0312,FOWLER COURT
0.0363,CANAL STREET
0.2153,R STREET
0.0631,NOTTINGHAM LANE
0.09,KELSO STREET
0.7036,GASTENBIDE ROAD
0.0856,FRONTIER STREET
0.0917,EL PORTAL DRIVE
0.0353,ATWATER BOULEVARD
0.9952,GEER AVENUE
0.1242,JEFF STREET
0.0558,TURBINE DRIVE
0.3053,EAST SANTA FE AVENUE
0.9966,WEST HIGHWAY 152
0.0705,23RD STREET
0.049,MERCED AVENUE
0.0759,V STREET
0.991,HUSMAN ROAD
0.091,EIGHTH STREET
0.0486,K STREET
0.1269,LIM STREET
0.032,BANDA COURT
0.0658,SAN LUIS OBISPO COURT
0.0272,SOUTH R STREET
0.0449,BARNEY STREET
0.1444,VALERIE WAY
0.0477,YVONNE DRIVE
0.0574,RAQUEL COURT
0.033,GREENWICH DRIVE
0.1607,DANA AVENUE
0.5069,WESTSIDE BOULEVARD
0.112,HOGAN COURT
0.0398,MCKEE ROAD
0.081,SAN ANSELMO COURT
0.101,MADERA AVENUE
0.5021,CRANE AVENUE
0.1488,EAST NORTH BEAR CREEK DRIVE
0.0367,VINE CIRCLE
0.4735,HIGHWAY 99 ON RAMP
0.0552,D STREET
0.0483,EAST FIR AVENUE
0.0459,EAST 19TH STREET
0.0542,SANDOZ COURT
0.4875,BLOSS AVENUE
0.0833,GARDENIA AVENUE
0.177,SOUTH FALLBROOK DRIVE
0.0285,EAST GERARD AVENUE
0.0522,PALERMO DRIVE
0.1649,ATWATER BOULEVARD
0.1764,G ST ON RAMP
0.0504,AUGUSTA LANE
0.0795,SEVENTH STREET
0.4984,WHEALAN ROAD
0.9862,LONGVIEW AVENUE
0.0187,BETTEN STREET
0.0233,SAN LUIS DRIVE
0.0904,SUMMERSET AVENUE
0.4795,HIGHWAY 99
0.0908,WEST 23RD STREET
0.0426,MIRIMAR COURT
0.2002,M STREET
0.0378,SCHOOL COURT
0.4906,SOUTH HIGHWAY 99
0.5026,EUCALYPTUS ROAD
0.0776,TEAK AVENUE
0.0866,CAMBRIDGE DRIVE
0.9778,JIM NEGRA ROAD
